Order_ID,Revenue,Profit,Cost,Quantity,Units_Price,Profit_Margin,Category,Sub_Category,Payment_Mode,Order_Date,Customer_Name,State,City,Year_Month,,,
B-26776,9726.00,1275.00,8451.00,5,1945.20,0.13,Electronics,Electronic Games,UPI,6/27/23,David Padilla,Florida,Miami,2023-06,,,
B-26776,9726.00,1275.00,8451.00,5,1945.20,0.13,Electronics,Electronic Games,UPI,12/27/24,Connor Morgan,Illinois,Chicago,2024-12,,,
B-26776,9726.00,1275.00,8451.00,5,1945.20,0.13,Electronics,Electronic Games,UPI,7/25/21,Robert Stone,New York,Buffalo,2021-07,,,
B-26776,4975.00,1330.00,3645.00,14,355.36,0.27,Electronics,Printers,UPI,6/27/23,David Padilla,Florida,Miami,2023-06,,,
B-26776,4975.00,1330.00,3645.00,14,355.36,0.27,Electronics,Printers,UPI,12/27/24,Connor Morgan,Illinois,Chicago,2024-12,,,
B-26776,4975.00,1330.00,3645.00,14,355.36,0.27,Electronics,Printers,UPI,7/25/21,Robert Stone,New York,Buffalo,2021-07,,,
B-26942,1525.00,185.00,1340.00,12,127.08,0.12,Office Supplies,Pens,Debit Card,5/11/24,John Fields,Florida,Orlando,2024-05,,,
B-26942,1525.00,185.00,1340.00,12,127.08,0.12,Office Supplies,Pens,Debit Card,10/9/21,Clayton Smith,Florida,Miami,2021-10,,,
B-26640,883.00,117.00,766.00,10,88.30,0.13,Electronics,Laptops,EMI,11/18/22,Richard Kelley,California,Los Angeles,2022-11,,,
B-26640,8127.00,3551.00,4576.00,16,507.94,0.44,Furniture,Tables,Credit Card,11/18/22,Richard Kelley,California,Los Angeles,2022-11,,,
B-25890,2516.00,734.00,1782.00,19,132.42,0.29,Furniture,Chairs,UPI,11/12/23,Jacqueline Hubbard,New York,New York City,2023-11,,,
B-25102,2975.00,462.00,2513.00,14,212.50,0.16,Office Supplies,Pens,Credit Card,3/23/20,Jessica Anderson,New York,New York City,2020-03,,,
B-25426,6851.00,2812.00,4039.00,1,6851.00,0.41,Office Supplies,Markers,Debit Card,5/4/20,Mary Taylor,Florida,Orlando,2020-05,,,
B-25426,7626.00,1046.00,6580.00,15,508.40,0.14,Furniture,Sofas,Credit Card,5/4/20,Mary Taylor,Florida,Orlando,2020-05,,,
B-25426,1023.00,78.00,945.00,9,113.67,0.08,Furniture,Tables,UPI,5/4/20,Mary Taylor,Florida,Orlando,2020-05,,,
B-25238,7600.00,1098.00,6502.00,10,760.00,0.14,Office Supplies,Pens,UPI,11/9/23,Walter Crawford,Illinois,Springfield,2023-11,,,
B-25238,7501.00,262.00,7239.00,18,416.72,0.03,Office Supplies,Paper,COD,11/9/23,Walter Crawford,Illinois,Springfield,2023-11,,,
B-25051,725.00,133.00,592.00,6,120.83,0.18,Office Supplies,Paper,Credit Card,12/30/24,Lawrence Robinson,New York,Rochester,2024-12,,,
B-25051,7201.00,2685.00,4516.00,2,3600.50,0.37,Furniture,Tables,Credit Card,12/30/24,Lawrence Robinson,New York,Rochester,2024-12,,,
B-26510,1629.00,265.00,1364.00,1,1629.00,0.16,Office Supplies,Paper,UPI,2/11/25,Douglas Pennington,Texas,Dallas,2025-02,,,
B-26510,1629.00,265.00,1364.00,1,1629.00,0.16,Office Supplies,Paper,UPI,1/23/24,Ricardo Andrews,California,San Diego,2024-01,,,
B-25104,8971.00,2971.00,6000.00,19,472.16,0.33,Office Supplies,Binders,Debit Card,11/28/20,Paul Raymond,California,San Diego,2020-11,,,
B-25104,2939.00,894.00,2045.00,20,146.95,0.30,Office Supplies,Binders,COD,11/28/20,Paul Raymond,California,San Diego,2020-11,,,
B-25553,9380.00,414.00,8966.00,11,852.73,0.04,Electronics,Phones,UPI,5/30/24,Karen Johnson,New York,Rochester,2024-05,,,
B-25553,8558.00,1644.00,6914.00,18,475.44,0.19,Office Supplies,Binders,Credit Card,5/30/24,Karen Johnson,New York,Rochester,2024-05,,,
B-25553,4080.00,72.00,4008.00,17,240.00,0.02,Office Supplies,Paper,COD,5/30/24,Karen Johnson,New York,Rochester,2024-05,,,
B-26703,4206.00,1821.00,2385.00,17,247.41,0.43,Electronics,Electronic Games,EMI,1/23/22,Juan Erickson,Texas,Austin,2022-01,,,
B-26232,5219.00,1180.00,4039.00,20,260.95,0.23,Office Supplies,Binders,COD,12/17/21,Alexander Reed,New York,New York City,2021-12,,,
B-26232,5219.00,1180.00,4039.00,20,260.95,0.23,Office Supplies,Binders,COD,2/3/23,Jacqueline Harris,California,San Francisco,2023-02,,,
B-25394,3686.00,760.00,2926.00,20,184.30,0.21,Office Supplies,Pens,Debit Card,10/30/22,Tyler Park,California,San Francisco,2022-10,,,
